,회사명,주당액면가액(원)(1)당기,주당액면가액(원)(1)전기,주당액면가액(원)(1)전전기,(연결)당기순이익(백만원)(1)당기,(연결)당기순이익(백만원)(1)전기,(연결)당기순이익(백만원)(1)전전기,(별도)당기순이익(백만원)(1)당기,(별도)당기순이익(백만원)(1)전기,(별도)당기순이익(백만원)(1)전전기,(연결)주당순이익(원)(1)당기,(연결)주당순이익(원)(1)전기,(연결)주당순이익(원)(1)전전기,현금배당금총액(백만원)(1)당기,현금배당금총액(백만원)(1)전기,현금배당금총액(백만원)(1)전전기,주식배당금총액(백만원)(1)당기,주식배당금총액(백만원)(1)전기,주식배당금총액(백만원)(1)전전기,(연결)현금배당성향(%)(1)당기,(연결)현금배당성향(%)(1)전기,(연결)현금배당성향(%)(1)전전기,현금배당수익률(%)보통주(1)당기,현금배당수익률(%)보통주(1)전기,현금배당수익률(%)보통주(1)전전기,현금배당수익률(%)우선주(1)당기,현금배당수익률(%)우선주(1)전기,현금배당수익률(%)우선주(1)전전기,주식배당수익률(%)보통주(1)당기,주식배당수익률(%)보통주(1)전기,주식배당수익률(%)보통주(1)전전기,주식배당수익률(%)우선주(1)당기,주식배당수익률(%)우선주(1)전기,주식배당수익률(%)우선주(1)전전기,주당 현금배당금(원)보통주(1)당기,주당 현금배당금(원)보통주(1)전기,주당 현금배당금(원)보통주(1)전전기,주당 현금배당금(원)우선주(1)당기,주당 현금배당금(원)우선주(1)전기,주당 현금배당금(원)우선주(1)전전기,주당 주식배당(주)보통주(1)당기,주당 주식배당(주)보통주(1)전기,주당 주식배당(주)보통주(1)전전기,주당 주식배당(주)우선주(1)당기,주당 주식배당(주)우선주(1)전기,주당 주식배당(주)우선주(1)전전기,현금배당수익률(%)(1)당기,현금배당수익률(%)(1)전기,현금배당수익률(%)(1)전전기,주식배당수익률(%)(1)당기,주식배당수익률(%)(1)전기,주식배당수익률(%)(1)전전기,주당 현금배당금(원)(1)당기,주당 현금배당금(원)(1)전기,주당 현금배당금(원)(1)전전기,주당 주식배당(주)(1)당기,주당 주식배당(주)(1)전기,주당 주식배당(주)(1)전전기,현금배당수익률(%)(2)당기,현금배당수익률(%)(2)전기,현금배당수익률(%)(2)전전기,주식배당수익률(%)(2)당기,주식배당수익률(%)(2)전기,주식배당수익률(%)(2)전전기,주당 현금배당금(원)(2)당기,주당 현금배당금(원)(2)전기,주당 현금배당금(원)(2)전전기,주당 주식배당(주)(2)당기,주당 주식배당(주)(2)전기,주당 주식배당(주)(2)전전기,현금배당수익률(%)종류주식(1)당기,현금배당수익률(%)종류주식(1)전기,현금배당수익률(%)종류주식(1)전전기,주식배당수익률(%)종류주식(1)당기,주식배당수익률(%)종류주식(1)전기,주식배당수익률(%)종류주식(1)전전기,주당 현금배당금(원)종류주식(1)당기,주당 현금배당금(원)종류주식(1)전기,주당 현금배당금(원)종류주식(1)전전기,주당 주식배당(주)종류주식(1)당기,주당 주식배당(주)종류주식(1)전기,주당 주식배당(주)종류주식(1)전전기,주당 주식배당(주)(3)당기,주당 주식배당(주)(3)전기,주당 주식배당(주)(3)전전기,현금배당수익률(%)보통주식(1)당기,현금배당수익률(%)보통주식(1)전기,현금배당수익률(%)보통주식(1)전전기,주식배당수익률(%)보통주식(1)당기,주식배당수익률(%)보통주식(1)전기,주식배당수익률(%)보통주식(1)전전기,주당 현금배당금(원)보통주식(1)당기,주당 현금배당금(원)보통주식(1)전기,주당 현금배당금(원)보통주식(1)전전기,주당 주식배당(주)보통주식(1)당기,주당 주식배당(주)보통주식(1)전기,주당 주식배당(주)보통주식(1)전전기,주당 주식배당(주)후배주(1)당기,주당 주식배당(주)후배주(1)전기,주당 주식배당(주)후배주(1)전전기,현금배당수익률(%)종류주(1)당기,현금배당수익률(%)종류주(1)전기,현금배당수익률(%)종류주(1)전전기,주식배당수익률(%)종류주(1)당기,주식배당수익률(%)종류주(1)전기,주식배당수익률(%)종류주(1)전전기,주당 현금배당금(원)종류주(1)당기,주당 현금배당금(원)종류주(1)전기,주당 현금배당금(원)종류주(1)전전기,주당 주식배당(주)종류주(1)당기,주당 주식배당(주)종류주(1)전기,주당 주식배당(주)종류주(1)전전기,주당 주식배당(주)(4)당기,주당 주식배당(주)(4)전기,주당 주식배당(주)(4)전전기,현금배당수익률(%)보통주 (1)당기,현금배당수익률(%)보통주 (1)전기,현금배당수익률(%)보통주 (1)전전기,현금배당수익률(%)우선주 (1)당기,현금배당수익률(%)우선주 (1)전기,현금배당수익률(%)우선주 (1)전전기,주식배당수익률(%)보통주 (1)당기,주식배당수익률(%)보통주 (1)전기,주식배당수익률(%)보통주 (1)전전기,주식배당수익률(%)우선주 (1)당기,주식배당수익률(%)우선주 (1)전기,주식배당수익률(%)우선주 (1)전전기,주당 현금배당금(원)보통주 (1)당기,주당 현금배당금(원)보통주 (1)전기,주당 현금배당금(원)보통주 (1)전전기,주당 현금배당금(원)우선주 (1)당기,주당 현금배당금(원)우선주 (1)전기,주당 현금배당금(원)우선주 (1)전전기,주당 주식배당(주)보통주 (1)당기,주당 주식배당(주)보통주 (1)전기,주당 주식배당(주)보통주 (1)전전기,주당 주식배당(주)우선주 (1)당기,주당 주식배당(주)우선주 (1)전기,주당 주식배당(주)우선주 (1)전전기
37,OCI,"5,000","5,000","5,000","-807,386","103,787","234,901","-717,595","70,724","168,896","-33,308","4,352","9,849",-,"20,272","46,506",-,-,-,-,19.50,19.80,,,,,,,,,,,,,,,,,,,,,,,,,-,0.80,1.50,-,-,-,-,850,"1,950",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,기업은행,"5,000","5,000","5,000","1,614,261","1,764,278","1,508,528","1,392,834","1,511,006","1,314,082","2,242","2,531","2,178","382,614","410,107","405,956",-,-,-,28.02,25.73,26.91,5.40,4.60,3.70,-,-,-,-,-,-,-,-,-,670,690,617,670,690,617,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,디에스티,100,100,100,"-17,979","-14,278","3,227","-17,963","-18,250","3,739",-327,-287,70,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,바른테크놀로지,100,500,500,"-6,421","-5,121",-,"-6,275","-4,875","-3,353",-159,-157,-144,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,디엔에이링크,500,500,500,"-13,118","-3,753",337,"-13,745","-3,751","1,361","-1,151",-350,46,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,실리콘웍스,500,500,500,"38,539","48,960","47,064","38,240","48,931","46,458","2,370","3,010","2,894","13,499","13,499","11,385",-,-,-,35.00,27.60,24.20,2.10,2.50,1.40,-,-,-,-,-,-,-,-,-,830,830,700,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,한국내화,500,500,500,"4,286","7,151","11,644","4,286","7,151","11,644",193,336,548,782,744,532,-,-,-,18.20,10.40,4.60,,,,,,,,,,,,,,,,,,,,,,,,,7.00,7.00,5.00,-,-,-,35,35,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,롯데손해보험,"1,000","1,000","1,000",-,-,-,"-51,167","91,314","76,646",-325,666,540,-,-,"2,661",-,-,-,-,-,3.56,-,-,0.68,,,,,,,,,,-,-,20,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,세방,500,500,500,"5,494","43,533","31,413","-19,584","12,493","14,580",239,"1,893","1,365","4,009","4,009","4,009",-,-,-,72.98,9.21,12.76,1.55,1.42,1.41,2.76,2.82,2.31,-,-,-,-,-,-,175,175,175,180,180,180,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,드림어스컴퍼니,500,500,500,"-48,006","-21,314","-14,092","-48,581","-22,011","-12,767",-856,-420,-388,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,미코바이오메드,500,500,500,"-14,639","-8,756",-,"-13,171","-9,584","-13,001","-1,234",-848,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,한익스프레스,500,500,500,"5,743","5,296","6,696","2,955","6,003","7,384",479,441,558,840,720,960,-,-,-,14.63,13.60,14.34,1.65,1.40,1.74,,,,-,-,-,,,,70,60,80,,,,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,평화홀딩스,500,500,500,"-21,766","-63,597","-5,487","-3,559","13,694","5,472",-957,"-2,751",-139,"2,078","2,077","2,077",-,-,-,-,-,-,4.18,2.39,4.34,-,-,-,-,-,-,-,-,-,150,150,150,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,평화산업,500,500,500,"-7,210","-44,077","-7,925","-10,565","-42,611","-7,079",-165,"-1,184",-213,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,BNK금융지주,"5,000","5,000","5,000","562,225","502,095","403,100","91,575","29,074","131,203","1,647","1,475","1,200","117,331","97,776","74,962",-,-,-,20.87,19.47,18.60,,,,,,,,,,,,,,,,,,,,,,,,,4.59,3.92,2.41,-,-,-,360,300,230,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,라온테크,500,500,500,-,-,-,"-1,432",-248,-820,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,,,,-,-,-,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,동화기업,500,500,500,"27,701","35,074","34,221","27,807","35,083","35,484","1,581","2,004","1,978","2,629","2,921","4,037",-,"2,921",-,9.48,8.32,11.80,0.92,0.79,1.10,,,,-,2.06,-,,,,150,250,350,,,,-,1,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,영원무역홀딩스,500,500,500,"120,951","86,249","71,594","14,929","13,295","10,629","10,421","7,432","6,169","11,605","9,284","6,963",-,-,-,9.60,10.80,9.70,,,,,,,,,,,,,,,,,,,,,,,,,2.00,1.20,1.10,-,-,-,"1,000",800,600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,효성,"5,000","5,000","5,000","103,683","3,357,772","325,574","43,811","3,019,516","316,067","5,100","154,807","9,786","101,654","101,654","166,343",-,-,-,98.00,3.00,51.10,6.00,8.40,3.60,-,-,-,-,-,-,-,-,-,"5,000","5,000","5,000",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,멕아이씨에스,500,500,500,"-1,689","-2,756","-1,959","-1,000","-2,809","-1,307",-267,-505,-363,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,아이디스홀딩스,500,500,500,"-13,477","53,200","30,867","-11,073","5,620","2,583","-1,203","2,389",494,"1,854","1,854","1,390",-,-,-,-13.80,3.50,4.50,1.68,1.56,1.02,-,-,-,-,-,-,-,-,-,200,200,150,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,케이에스피,500,500,500,"1,641","-10,395","-3,749","1,641","-10,395","-3,749",46,"-1,711",-537,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,LG생활건강,"5,000","5,000","5,000","778,098","682,743","606,412","622,868","605,849","595,638","46,431","40,740","36,184","184,421","155,098","150,909",-,-,-,23.70,22.70,24.90,,,,,,,,,,,,,"11,000","9,250","9,000","11,050","9,300","9,050",,,,,,,0.90,0.80,0.80,-,-,-,,,,-,-,-,1.40,1.40,1.30,-,-,-,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,남양유업,"5,000","5,000","5,000","29,231","2,015","5,021","18,115","9,126","4,595","34,527","2,371","5,922",855,855,855,-,-,-,2.90,42.40,17.00,0.20,0.20,0.10,0.70,0.50,0.50,-,-,-,-,-,-,"1,000","1,000","1,000","1,050","1,050","1,050",-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,대원산업,500,500,500,"39,078","28,082","33,962","26,841","28,881","29,663","1,950","1,404","1,695","2,505","2,505","2,505",-,-,-,6.41,8.92,7.37,2.10,2.30,1.50,,,,-,-,-,,,,125,125,125,,,,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,성안,500,500,500,"-16,206","-13,022","-8,718","-25,064","-5,027","-5,184",-214,-189,-166,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,상신브레이크,500,500,500,"5,491","9,918","24,137","11,919","16,979","21,661",210,423,"1,190","1,936","1,936","3,291",-,-,-,47.70,23.60,13.60,,,,,,,,,,,,,,,,,,,,,,,,,2.80,2.40,2.20,-,-,-,100,100,170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,대원전선,500,500,500,-818,"1,239",685,-405,"1,239",653,-12,18,10,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,디에스케이,500,500,500,"3,892","17,027","-34,362","10,096","20,132","-25,604",308,980,"-1,744",-,-,500,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,테크트랜스,100,100,100,-,-,-,"-2,152","-2,010","-2,015",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,S&T중공업,"2,500","2,500","2,500","16,645","19,818","-30,924","19,378","16,333","-28,426",622,712,"-1,003","8,026","5,195",-,-,"1,948",-,48.20,26.20,-,4.50,2.70,-,,,,-,1.80,-,,,,300,200,-,,,,-,0,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,에스제이엠홀딩스,500,500,500,"4,920","3,074","15,312","4,972","3,468","15,330",363,227,"1,130","2,372","2,033","2,710",-,-,-,48.20,66.10,17.70,5.30,4.40,4.10,-,-,-,-,-,-,-,-,-,175,150,200,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,제일파마홀딩스,500,500,500,"-95,854","7,301","520,875","-85,608","5,266","518,364","-5,906","1,363","139,117","1,075","1,075",223,-,-,-,-,14.70,0.04,0.40,0.30,0.20,,,,-,-,-,,,,70,70,60,,,,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,이엑스티,100,100,100,"-4,873","3,078",0,"-2,564","3,433","3,470",-180,120,0,0,"1,583","1,427",0,0,0,0.00,51.45,0.00,0.00,2.30,4.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,60,80,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,이건산업,"5,000","5,000","5,000",781,"6,180","5,338","6,230","-3,466","2,729",73,648,570,"2,142","2,150","2,313",-,-,-,274.10,34.80,43.30,2.80,1.90,2.60,-,-,-,-,-,-,-,-,-,200,200,250,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,골프존데카,500,500,500,"-6,450","-1,940","-3,619","-5,500","-1,219","-4,033","-1,569",-476,-929,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,CJ프레시웨이,"1,000","1,000","1,000","5,149","13,705","-1,536","22,376","11,791","-5,778",434,"1,154",-129,"2,968","2,374","2,374",-,-,-,57.60,17.30,-154.60,0.90,0.70,0.50,-,-,-,-,-,-,-,-,-,250,200,200,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,엠벤처투자,500,500,500,"9,098","2,346","-6,443","4,992","1,325","-6,865",133,36,-108,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,무학,200,200,200,"23,700","-20,263","51,507","24,452","-19,122","51,673",849,-719,"1,839",-,"9,865","9,865",-,-,-,-,-48.69,19.15,-,2.57,1.78,,,,-,-,-,,,,-,350,350,,,,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,내츄럴엔도텍,500,500,500,"-16,008","-23,238","-8,861","-15,323","-16,506","-9,645",-655,-963,-455,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,한진칼,"2,500","2,500","2,500","-243,001","-33,524","227,463","32,069","37,869","238,884","-4,070",-562,"3,931","15,237","17,923","7,476",-,-,-,-6.30,-53.50,3.30,0.60,0.90,0.70,0.60,1.40,1.30,-,-,-,-,-,-,255,300,125,280,325,150,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,호텔신라,"5,000","5,000","5,000","169,428","110,308","25,286","134,734","92,576","22,348","4,483","2,913",667,"13,286","13,286","13,286",-,-,-,7.84,12.04,52.54,0.41,0.47,0.43,0.78,0.87,0.79,,,,,,,350,350,350,400,400,400,,,,,,,,,,-,-,-,,,,-,-,-,,,,-,-,-,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,동진쎄미켐,500,500,500,"58,526","47,704","44,803","44,753","39,569","37,822","1,138",928,900,"4,627","4,627","4,627",-,-,-,7.91,9.70,10.33,0.56,1.24,0.43,-,-,-,-,-,-,-,-,-,90,90,90,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,컨버즈,500,500,500,"-15,957","-20,922","-18,245","-18,238","-19,162","-6,432","-8,644","-15,378","-1,846",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,메디젠휴먼케어,500,500,500,"-3,536","-2,315",-968,"-3,513","-2,312",-968,"-1,534","-1,004",-420,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,에스케이씨에스,500,500,500,-,-,-,-83,"-1,046","-4,615",-31,-387,"-1,709",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
